"V1" "V2"
"orthoMCL0723" "3" "c_3"
"orthoMCL0724" "3" "c_3"
"orthoMCL0725" "3" "c_3"
"orthoMCL0726" "3" "c_3"
"orthoMCL0727" "3" "c_3"
"orthoMCL0728" "3" "c_3"
"orthoMCL0729" "3" "c_3"
"orthoMCL0730" "3" "c_3"
"orthoMCL0731" "3" "c_3"
"orthoMCL0732" "3" "c_3"
"orthoMCL0733" "3" "c_3"
"orthoMCL0734" "3" "c_3"
"orthoMCL0735" "3" "c_3"
"orthoMCL0736" "3" "c_3"
"orthoMCL0737" "3" "c_3"
"orthoMCL0738" "3" "c_3"
"orthoMCL0739" "3" "c_3"
"orthoMCL0740" "3" "c_3"
"orthoMCL0741" "3" "c_3"
"orthoMCL0742" "3" "c_3"
"orthoMCL0743" "3" "c_3"
"orthoMCL0744" "3" "c_3"
"orthoMCL0745" "3" "c_3"
"orthoMCL0746" "3" "c_3"
"orthoMCL0747" "3" "c_3"
"orthoMCL0748" "3" "c_3"
"orthoMCL0749" "3" "c_3"
"orthoMCL0750" "3" "c_3"
"orthoMCL0751" "3" "c_3"
"orthoMCL0752" "3" "c_3"
"orthoMCL0753" "3" "c_3"
"orthoMCL0754" "3" "c_3"
"orthoMCL0755" "3" "c_3"
"orthoMCL0756" "3" "c_3"
"orthoMCL0757" "3" "c_3"
"orthoMCL0758" "3" "c_3"
"orthoMCL0759" "3" "c_3"
"orthoMCL0760" "3" "c_3"
"orthoMCL0761" "3" "c_3"
"orthoMCL0762" "3" "c_3"
"orthoMCL0763" "3" "c_3"
"orthoMCL0764" "3" "c_3"
"orthoMCL0765" "3" "c_3"
"orthoMCL0766" "3" "c_3"
"orthoMCL0767" "3" "c_3"
"orthoMCL0768" "3" "c_3"
"orthoMCL0769" "3" "c_3"
"orthoMCL0770" "3" "c_3"
"orthoMCL0771" "3" "c_3"
"orthoMCL0772" "3" "c_3"
"orthoMCL0773" "3" "c_3"
"orthoMCL0774" "3" "c_3"
"orthoMCL0775" "3" "c_3"
"orthoMCL0776" "3" "c_3"
"orthoMCL0777" "3" "c_3"
"orthoMCL0778" "3" "c_3"
"orthoMCL0779" "3" "c_3"
"orthoMCL0780" "3" "c_3"
"orthoMCL0781" "3" "c_3"
"orthoMCL0782" "3" "c_3"
"orthoMCL0783" "3" "c_3"
"orthoMCL0784" "3" "c_3"
"orthoMCL0785" "3" "c_3"
"orthoMCL0786" "3" "c_3"
"orthoMCL0787" "3" "c_3"
"orthoMCL0788" "3" "c_3"
"orthoMCL0789" "3" "c_3"
"orthoMCL0790" "3" "c_3"
"orthoMCL0791" "3" "c_3"
"orthoMCL0792" "3" "c_3"
"orthoMCL0793" "3" "c_3"
"orthoMCL0794" "3" "c_3"
"orthoMCL0795" "3" "c_3"
"orthoMCL0796" "3" "c_3"
"orthoMCL0797" "3" "c_3"
"orthoMCL0798" "3" "c_3"
"orthoMCL0799" "3" "c_3"
"orthoMCL0800" "3" "c_3"
"orthoMCL0801" "3" "c_3"
"orthoMCL0802" "3" "c_3"
"orthoMCL0803" "3" "c_3"
"orthoMCL0804" "3" "c_3"
"orthoMCL0805" "3" "c_3"
"orthoMCL0806" "3" "c_3"
"orthoMCL0807" "3" "c_3"
"orthoMCL0808" "3" "c_3"
"orthoMCL0809" "3" "c_3"
"orthoMCL0810" "3" "c_3"
"orthoMCL0811" "3" "c_3"
"orthoMCL0812" "3" "c_3"
"orthoMCL0813" "3" "c_3"
"orthoMCL0814" "3" "c_3"
"orthoMCL0815" "3" "c_3"
"orthoMCL0816" "3" "c_3"
"orthoMCL0817" "3" "c_3"
"orthoMCL0818" "3" "c_3"
"orthoMCL0819" "3" "c_3"
"orthoMCL0820" "3" "c_3"
"orthoMCL0821" "3" "c_3"
"orthoMCL0822" "3" "c_3"
"orthoMCL0823" "3" "c_3"
"orthoMCL0824" "3" "c_3"
"orthoMCL0825" "3" "c_3"
"orthoMCL0826" "3" "c_3"
"orthoMCL0827" "3" "c_3"
"orthoMCL0828" "3" "c_3"
"orthoMCL0829" "3" "c_3"
"orthoMCL0830" "3" "c_3"
"orthoMCL0831" "3" "c_3"
"orthoMCL0832" "3" "c_3"
"orthoMCL0833" "3" "c_3"
"orthoMCL0834" "3" "c_3"
"orthoMCL0835" "3" "c_3"
"orthoMCL0836" "3" "c_3"
"orthoMCL0837" "3" "c_3"
"orthoMCL0838" "3" "c_3"
"orthoMCL0839" "3" "c_3"
"orthoMCL0840" "3" "c_3"
"orthoMCL0841" "3" "c_3"
"orthoMCL0842" "3" "c_3"
"orthoMCL0843" "3" "c_3"
"orthoMCL0844" "3" "c_3"
"orthoMCL0845" "3" "c_3"
"orthoMCL0846" "3" "c_3"
"orthoMCL0847" "3" "c_3"
"orthoMCL0848" "3" "c_3"
"orthoMCL0849" "3" "c_3"
"orthoMCL0850" "3" "c_3"
"orthoMCL0851" "3" "c_3"
"orthoMCL0852" "3" "c_3"
"orthoMCL0853" "3" "c_3"
"orthoMCL0854" "3" "c_3"
"orthoMCL0855" "3" "c_3"
"orthoMCL0856" "3" "c_3"
"orthoMCL0857" "3" "c_3"
"orthoMCL0858" "3" "c_3"
"orthoMCL0859" "3" "c_3"
"orthoMCL0860" "3" "c_3"
"orthoMCL0861" "3" "c_3"
"orthoMCL0862" "3" "c_3"
"orthoMCL0863" "3" "c_3"
"orthoMCL0864" "3" "c_3"
"orthoMCL0865" "3" "c_3"
"orthoMCL0866" "3" "c_3"
"orthoMCL0867" "3" "c_3"
"orthoMCL0868" "3" "c_3"
"orthoMCL0869" "3" "c_3"
"orthoMCL0870" "3" "c_3"
"orthoMCL0871" "3" "c_3"
"orthoMCL0872" "3" "c_3"
"orthoMCL0873" "3" "c_3"
"orthoMCL0874" "3" "c_3"
"orthoMCL0875" "3" "c_3"
"orthoMCL0876" "3" "c_3"
"orthoMCL0877" "3" "c_3"
"orthoMCL0878" "3" "c_3"
"orthoMCL0879" "3" "c_3"
"orthoMCL0880" "3" "c_3"
"orthoMCL0881" "3" "c_3"
"orthoMCL0882" "3" "c_3"
"orthoMCL0883" "3" "c_3"
"orthoMCL0884" "3" "c_3"
"orthoMCL0885" "3" "c_3"
"orthoMCL0886" "3" "c_3"
"orthoMCL0887" "3" "c_3"
"orthoMCL0888" "3" "c_3"
"orthoMCL0889" "3" "c_3"
"orthoMCL0890" "3" "c_3"
"orthoMCL0891" "3" "c_3"
"orthoMCL0892" "3" "c_3"
"orthoMCL0893" "3" "c_3"
"orthoMCL0894" "3" "c_3"
"orthoMCL0895" "3" "c_3"
"orthoMCL0896" "3" "c_3"
"orthoMCL0897" "3" "c_3"
"orthoMCL0898" "3" "c_3"
"orthoMCL0899" "3" "c_3"
"orthoMCL0900" "3" "c_3"
"orthoMCL0901" "3" "c_3"
"orthoMCL0902" "3" "c_3"
"orthoMCL0903" "3" "c_3"
"orthoMCL0904" "3" "c_3"
"orthoMCL0905" "3" "c_3"
"orthoMCL0906" "3" "c_3"
"orthoMCL0907" "3" "c_3"
"orthoMCL0908" "3" "c_3"
"orthoMCL0909" "3" "c_3"
"orthoMCL0910" "3" "c_3"
"orthoMCL0911" "3" "c_3"
"orthoMCL0912" "3" "c_3"
"orthoMCL0913" "3" "c_3"
"orthoMCL0914" "3" "c_3"
"orthoMCL0915" "3" "c_3"
"orthoMCL0916" "3" "c_3"
"orthoMCL0917" "3" "c_3"
"orthoMCL0918" "3" "c_3"
"orthoMCL0919" "3" "c_3"
"orthoMCL0920" "3" "c_3"
"orthoMCL0921" "3" "c_3"
"orthoMCL0922" "3" "c_3"
"orthoMCL0923" "3" "c_3"
"orthoMCL0924" "3" "c_3"
"orthoMCL0925" "3" "c_3"
"orthoMCL0926" "3" "c_3"
"orthoMCL0927" "3" "c_3"
"orthoMCL0928" "3" "c_3"
"orthoMCL0929" "3" "c_3"
"orthoMCL0930" "3" "c_3"
"orthoMCL0931" "3" "c_3"
"orthoMCL0932" "3" "c_3"
"orthoMCL0933" "3" "c_3"
"orthoMCL0934" "3" "c_3"
"orthoMCL0935" "3" "c_3"
"orthoMCL0936" "3" "c_3"
"orthoMCL0937" "3" "c_3"
"orthoMCL0938" "3" "c_3"
"orthoMCL0939" "3" "c_3"
"orthoMCL0940" "3" "c_3"
"orthoMCL0941" "3" "c_3"
"orthoMCL0942" "3" "c_3"
"orthoMCL0943" "3" "c_3"
"orthoMCL0944" "3" "c_3"
"orthoMCL0945" "3" "c_3"
"orthoMCL0946" "3" "c_3"
"orthoMCL0947" "3" "c_3"
"orthoMCL0948" "3" "c_3"
"orthoMCL0949" "3" "c_3"
"orthoMCL0950" "3" "c_3"
"orthoMCL0951" "3" "c_3"
"orthoMCL0952" "3" "c_3"
"orthoMCL0953" "3" "c_3"
"orthoMCL0954" "3" "c_3"
"orthoMCL0955" "3" "c_3"
"orthoMCL0956" "3" "c_3"
"orthoMCL0957" "3" "c_3"
"orthoMCL0958" "3" "c_3"
"orthoMCL0959" "3" "c_3"
"orthoMCL0960" "3" "c_3"
"orthoMCL0961" "3" "c_3"
"orthoMCL0962" "3" "c_3"
"orthoMCL0963" "3" "c_3"
"orthoMCL0964" "3" "c_3"
"orthoMCL0965" "3" "c_3"
"orthoMCL0966" "3" "c_3"
"orthoMCL0967" "3" "c_3"
"orthoMCL0968" "3" "c_3"
"orthoMCL0969" "3" "c_3"
"orthoMCL0970" "3" "c_3"
"orthoMCL0971" "3" "c_3"
"orthoMCL0972" "3" "c_3"
"orthoMCL0973" "3" "c_3"
"orthoMCL0974" "3" "c_3"
"orthoMCL0975" "3" "c_3"
"orthoMCL0976" "3" "c_3"
"orthoMCL0977" "3" "c_3"
"orthoMCL0978" "3" "c_3"
"orthoMCL0979" "3" "c_3"
"orthoMCL0980" "3" "c_3"
"orthoMCL0981" "3" "c_3"
"orthoMCL0982" "3" "c_3"
"orthoMCL0983" "3" "c_3"
"orthoMCL0984" "3" "c_3"
"orthoMCL0985" "3" "c_3"
"orthoMCL0986" "3" "c_3"
"orthoMCL0987" "3" "c_3"
"orthoMCL0988" "3" "c_3"
"orthoMCL0989" "3" "c_3"
"orthoMCL0990" "3" "c_3"
"orthoMCL0991" "3" "c_3"
"orthoMCL0992" "3" "c_3"
"orthoMCL0993" "3" "c_3"
"orthoMCL0994" "3" "c_3"
"orthoMCL0995" "3" "c_3"
"orthoMCL0996" "3" "c_3"
"orthoMCL0997" "3" "c_3"
"orthoMCL0998" "3" "c_3"
"orthoMCL0999" "3" "c_3"
"orthoMCL1000" "3" "c_3"
"orthoMCL1001" "3" "c_3"
"orthoMCL1002" "3" "c_3"
"orthoMCL1003" "3" "c_3"
"orthoMCL1004" "3" "c_3"
"orthoMCL1005" "3" "c_3"
"orthoMCL1006" "3" "c_3"
"orthoMCL1007" "3" "c_3"
"orthoMCL1008" "3" "c_3"
"orthoMCL1009" "3" "c_3"
"orthoMCL1010" "3" "c_3"
"orthoMCL1011" "3" "c_3"
"orthoMCL1012" "3" "c_3"
"orthoMCL1013" "3" "c_3"
"orthoMCL1014" "3" "c_3"
"orthoMCL1015" "3" "c_3"
"orthoMCL1016" "3" "c_3"
"orthoMCL1017" "3" "c_3"
"orthoMCL1018" "3" "c_3"
"orthoMCL1019" "3" "c_3"
"orthoMCL1020" "3" "c_3"
"orthoMCL1021" "3" "c_3"
"orthoMCL1022" "3" "c_3"
"orthoMCL1023" "3" "c_3"
"orthoMCL1024" "3" "c_3"
"orthoMCL1025" "3" "c_3"
"orthoMCL1026" "3" "c_3"
"orthoMCL1027" "3" "c_3"
"orthoMCL1028" "3" "c_3"
"orthoMCL1029" "3" "c_3"
"orthoMCL1030" "3" "c_3"
"orthoMCL1031" "3" "c_3"
"orthoMCL1032" "3" "c_3"
"orthoMCL1033" "3" "c_3"
"orthoMCL1034" "3" "c_3"
"orthoMCL1035" "3" "c_3"
"orthoMCL1036" "3" "c_3"
"orthoMCL1037" "3" "c_3"
"orthoMCL1038" "3" "c_3"
"orthoMCL1039" "3" "c_3"
"orthoMCL1040" "3" "c_3"
"orthoMCL1041" "3" "c_3"
"orthoMCL1042" "3" "c_3"
"orthoMCL1043" "3" "c_3"
"orthoMCL1044" "3" "c_3"
"orthoMCL1045" "3" "c_3"
"orthoMCL1046" "3" "c_3"
"orthoMCL1047" "3" "c_3"
"orthoMCL1048" "3" "c_3"
"orthoMCL1049" "3" "c_3"
"orthoMCL1050" "3" "c_3"
"orthoMCL1051" "3" "c_3"
"orthoMCL1052" "3" "c_3"
"orthoMCL1053" "3" "c_3"
"orthoMCL1054" "3" "c_3"
"orthoMCL1055" "3" "c_3"
"orthoMCL1056" "3" "c_3"
"orthoMCL1057" "3" "c_3"
"orthoMCL1058" "3" "c_3"
"orthoMCL1059" "3" "c_3"
"orthoMCL1060" "3" "c_3"
"orthoMCL1061" "3" "c_3"
"orthoMCL1062" "3" "c_3"
"orthoMCL1063" "3" "c_3"
"orthoMCL1064" "3" "c_3"
"orthoMCL1065" "3" "c_3"
"orthoMCL1066" "3" "c_3"
"orthoMCL1067" "3" "c_3"
"orthoMCL1068" "3" "c_3"
"orthoMCL1069" "3" "c_3"
"orthoMCL1070" "3" "c_3"
"orthoMCL1071" "3" "c_3"
"orthoMCL1072" "3" "c_3"
"orthoMCL1073" "3" "c_3"
"orthoMCL1074" "3" "c_3"
"orthoMCL1075" "3" "c_3"
"orthoMCL1076" "3" "c_3"
"orthoMCL1077" "3" "c_3"
"orthoMCL1078" "3" "c_3"
"orthoMCL1079" "3" "c_3"
"orthoMCL1080" "3" "c_3"
"orthoMCL1081" "3" "c_3"
"orthoMCL1082" "3" "c_3"
"orthoMCL1083" "3" "c_3"
"orthoMCL1084" "3" "c_3"
"orthoMCL1085" "3" "c_3"
"orthoMCL1086" "3" "c_3"
"orthoMCL1087" "3" "c_3"
"orthoMCL1088" "3" "c_3"
"orthoMCL1089" "3" "c_3"
"orthoMCL1090" "3" "c_3"
"orthoMCL1091" "3" "c_3"
"orthoMCL1092" "3" "c_3"
"orthoMCL1093" "3" "c_3"
"orthoMCL1094" "3" "c_3"
"orthoMCL1095" "3" "c_3"
"orthoMCL1096" "3" "c_3"
"orthoMCL1097" "3" "c_3"
"orthoMCL1098" "3" "c_3"
"orthoMCL1099" "3" "c_3"
"orthoMCL1100" "3" "c_3"
"orthoMCL1101" "3" "c_3"
"orthoMCL1102" "3" "c_3"
"orthoMCL1103" "3" "c_3"
"orthoMCL1104" "3" "c_3"
"orthoMCL1105" "3" "c_3"
"orthoMCL1106" "3" "c_3"
"orthoMCL1107" "3" "c_3"
"orthoMCL1108" "3" "c_3"
"orthoMCL1109" "3" "c_3"
"orthoMCL1110" "3" "c_3"
"orthoMCL1111" "3" "c_3"
"orthoMCL1112" "3" "c_3"
"orthoMCL1113" "3" "c_3"
"orthoMCL1114" "3" "c_3"
"orthoMCL1115" "3" "c_3"
"orthoMCL1116" "3" "c_3"
"orthoMCL1117" "3" "c_3"
"orthoMCL1118" "3" "c_3"
"orthoMCL1119" "3" "c_3"
"orthoMCL1120" "3" "c_3"
"orthoMCL1121" "3" "c_3"
"orthoMCL1122" "3" "c_3"
"orthoMCL1123" "3" "c_3"
"orthoMCL1124" "3" "c_3"
"orthoMCL1125" "3" "c_3"
"orthoMCL1126" "3" "c_3"
"orthoMCL1127" "3" "c_3"
"orthoMCL1128" "3" "c_3"
"orthoMCL1129" "3" "c_3"
"orthoMCL1130" "3" "c_3"
"orthoMCL1131" "3" "c_3"
"orthoMCL1132" "3" "c_3"
"orthoMCL1133" "3" "c_3"
"orthoMCL1134" "3" "c_3"
"orthoMCL1135" "3" "c_3"
"orthoMCL1136" "3" "c_3"
"orthoMCL1137" "3" "c_3"
"orthoMCL1138" "3" "c_3"
"orthoMCL1139" "3" "c_3"
"orthoMCL1140" "3" "c_3"
"orthoMCL1141" "3" "c_3"
"orthoMCL1142" "3" "c_3"
"orthoMCL1143" "3" "c_3"
"orthoMCL1144" "3" "c_3"
"orthoMCL1145" "3" "c_3"
"orthoMCL1146" "3" "c_3"
"orthoMCL1147" "3" "c_3"
"orthoMCL1148" "3" "c_3"
"orthoMCL1149" "3" "c_3"
"orthoMCL1150" "3" "c_3"
"orthoMCL1151" "3" "c_3"
"orthoMCL1152" "3" "c_3"
"orthoMCL1153" "3" "c_3"
"orthoMCL1154" "3" "c_3"
"orthoMCL1155" "3" "c_3"
"orthoMCL1156" "3" "c_3"
"orthoMCL1157" "3" "c_3"
"orthoMCL1158" "3" "c_3"
"orthoMCL1159" "3" "c_3"
"orthoMCL1160" "3" "c_3"
"orthoMCL1161" "3" "c_3"
"orthoMCL1162" "3" "c_3"
"orthoMCL1163" "3" "c_3"
"orthoMCL1164" "3" "c_3"
"orthoMCL1165" "3" "c_3"
"orthoMCL1166" "3" "c_3"
"orthoMCL1167" "3" "c_3"
"orthoMCL1168" "3" "c_3"
"orthoMCL1169" "3" "c_3"
"orthoMCL1170" "3" "c_3"
"orthoMCL1171" "3" "c_3"
"orthoMCL1172" "3" "c_3"
"orthoMCL1173" "3" "c_3"
"orthoMCL1174" "3" "c_3"
"orthoMCL1175" "3" "c_3"
"orthoMCL1176" "3" "c_3"
"orthoMCL1177" "3" "c_3"
"orthoMCL1178" "3" "c_3"
"orthoMCL1179" "3" "c_3"
"orthoMCL1180" "3" "c_3"
"orthoMCL1181" "3" "c_3"
"orthoMCL1182" "3" "c_3"
"orthoMCL1183" "3" "c_3"
"orthoMCL1184" "3" "c_3"
"orthoMCL1185" "3" "c_3"
"orthoMCL1186" "3" "c_3"
"orthoMCL1187" "3" "c_3"
"orthoMCL1188" "3" "c_3"
"orthoMCL1189" "3" "c_3"
"orthoMCL1190" "3" "c_3"
"orthoMCL1191" "3" "c_3"
"orthoMCL1192" "3" "c_3"
"orthoMCL1193" "3" "c_3"
"orthoMCL1194" "3" "c_3"
"orthoMCL1195" "3" "c_3"
"orthoMCL1196" "3" "c_3"
"orthoMCL1197" "3" "c_3"
"orthoMCL1198" "3" "c_3"
"orthoMCL1199" "3" "c_3"
"orthoMCL1200" "3" "c_3"
"orthoMCL1201" "3" "c_3"
"orthoMCL1202" "3" "c_3"
"orthoMCL1203" "3" "c_3"
"orthoMCL1204" "3" "c_3"
"orthoMCL1205" "3" "c_3"
"orthoMCL1206" "3" "c_3"
"orthoMCL1207" "3" "c_3"
"orthoMCL1208" "3" "c_3"
"orthoMCL1209" "3" "c_3"
"orthoMCL1210" "3" "c_3"
"orthoMCL1211" "3" "c_3"
"orthoMCL1212" "3" "c_3"
"orthoMCL1213" "3" "c_3"
"orthoMCL1214" "3" "c_3"
"orthoMCL1215" "3" "c_3"
"orthoMCL1216" "3" "c_3"
"orthoMCL1217" "3" "c_3"
"orthoMCL1218" "3" "c_3"
"orthoMCL1219" "3" "c_3"
"orthoMCL1220" "3" "c_3"
"orthoMCL1221" "3" "c_3"
"orthoMCL1222" "3" "c_3"
"orthoMCL1223" "3" "c_3"
"orthoMCL1224" "3" "c_3"
"orthoMCL1225" "3" "c_3"
"orthoMCL1226" "3" "c_3"
"orthoMCL1227" "3" "c_3"
"orthoMCL1228" "3" "c_3"
"orthoMCL1229" "3" "c_3"
"orthoMCL1230" "3" "c_3"
"orthoMCL1231" "3" "c_3"
"orthoMCL1232" "3" "c_3"
"orthoMCL1233" "3" "c_3"
"orthoMCL1234" "3" "c_3"
"orthoMCL1235" "3" "c_3"
"orthoMCL1236" "3" "c_3"
"orthoMCL1237" "3" "c_3"
"orthoMCL1238" "3" "c_3"
"orthoMCL1239" "3" "c_3"
"orthoMCL1240" "3" "c_3"
"orthoMCL1241" "3" "c_3"
"orthoMCL1242" "3" "c_3"
"orthoMCL1243" "3" "c_3"
"orthoMCL1244" "3" "c_3"
"orthoMCL1245" "3" "c_3"
"orthoMCL1246" "3" "c_3"
"orthoMCL1247" "3" "c_3"
"orthoMCL1248" "3" "c_3"
"orthoMCL1249" "3" "c_3"
"orthoMCL1250" "3" "c_3"
"orthoMCL1251" "3" "c_3"
"orthoMCL1252" "3" "c_3"
"orthoMCL1253" "3" "c_3"
"orthoMCL1254" "3" "c_3"
"orthoMCL1255" "3" "c_3"
"orthoMCL1256" "3" "c_3"
"orthoMCL1257" "3" "c_3"
"orthoMCL1258" "3" "c_3"
"orthoMCL1259" "3" "c_3"
"orthoMCL1260" "3" "c_3"
"orthoMCL1261" "3" "c_3"
"orthoMCL1262" "3" "c_3"
"orthoMCL1263" "3" "c_3"
"orthoMCL1264" "3" "c_3"
"orthoMCL1265" "3" "c_3"
"orthoMCL1266" "3" "c_3"
"orthoMCL1267" "3" "c_3"
"orthoMCL1268" "3" "c_3"
"orthoMCL1269" "3" "c_3"
"orthoMCL1270" "3" "c_3"
"orthoMCL1271" "3" "c_3"
"orthoMCL1272" "3" "c_3"
"orthoMCL1273" "3" "c_3"
"orthoMCL1274" "3" "c_3"
"orthoMCL1275" "3" "c_3"
"orthoMCL1276" "3" "c_3"
"orthoMCL1277" "3" "c_3"
"orthoMCL1278" "3" "c_3"
"orthoMCL1279" "3" "c_3"
"orthoMCL1280" "3" "c_3"
"orthoMCL1281" "3" "c_3"
"orthoMCL1282" "3" "c_3"
"orthoMCL1283" "3" "c_3"
"orthoMCL1284" "3" "c_3"
"orthoMCL1285" "3" "c_3"
"orthoMCL1286" "3" "c_3"
"orthoMCL1287" "3" "c_3"
"orthoMCL1288" "3" "c_3"
"orthoMCL1289" "3" "c_3"
"orthoMCL1290" "3" "c_3"
"orthoMCL1291" "3" "c_3"
"orthoMCL1292" "3" "c_3"
"orthoMCL1293" "3" "c_3"
"orthoMCL1294" "3" "c_3"
"orthoMCL1295" "3" "c_3"
"orthoMCL1296" "3" "c_3"
"orthoMCL1297" "3" "c_3"
"orthoMCL1298" "3" "c_3"
"orthoMCL1299" "3" "c_3"
"orthoMCL1300" "3" "c_3"
"orthoMCL1301" "3" "c_3"
"orthoMCL1302" "3" "c_3"
"orthoMCL1303" "3" "c_3"
"orthoMCL1304" "3" "c_3"
"orthoMCL1305" "3" "c_3"
"orthoMCL1306" "3" "c_3"
"orthoMCL1307" "3" "c_3"
"orthoMCL1308" "3" "c_3"
"orthoMCL1309" "3" "c_3"
"orthoMCL1310" "3" "c_3"
"orthoMCL1311" "3" "c_3"
"orthoMCL1312" "3" "c_3"
"orthoMCL1313" "3" "c_3"
"orthoMCL1314" "3" "c_3"
"orthoMCL1315" "3" "c_3"
"orthoMCL1316" "3" "c_3"
"orthoMCL1317" "3" "c_3"
"orthoMCL1318" "3" "c_3"
"orthoMCL1319" "3" "c_3"
"orthoMCL1320" "3" "c_3"
"orthoMCL1321" "3" "c_3"
"orthoMCL1322" "3" "c_3"
"orthoMCL1323" "3" "c_3"
"orthoMCL1324" "3" "c_3"
"orthoMCL1325" "3" "c_3"
"orthoMCL1326" "3" "c_3"
"orthoMCL1327" "3" "c_3"
"orthoMCL1328" "3" "c_3"
"orthoMCL1329" "3" "c_3"
"orthoMCL1330" "3" "c_3"
"orthoMCL1331" "3" "c_3"
"orthoMCL1332" "3" "c_3"
"orthoMCL1333" "3" "c_3"
"orthoMCL1334" "3" "c_3"
"orthoMCL1335" "3" "c_3"
"orthoMCL1336" "3" "c_3"
"orthoMCL1337" "3" "c_3"
"orthoMCL1338" "3" "c_3"
"orthoMCL1339" "3" "c_3"
"orthoMCL1340" "3" "c_3"
"orthoMCL1341" "3" "c_3"
"orthoMCL1342" "3" "c_3"
"orthoMCL1343" "3" "c_3"
"orthoMCL1344" "3" "c_3"
"orthoMCL1345" "3" "c_3"
"orthoMCL1346" "3" "c_3"
"orthoMCL1347" "3" "c_3"
"orthoMCL1348" "3" "c_3"
"orthoMCL1349" "3" "c_3"
"orthoMCL1350" "3" "c_3"
"orthoMCL1351" "3" "c_3"
"orthoMCL1352" "3" "c_3"
"orthoMCL1353" "3" "c_3"
"orthoMCL1354" "3" "c_3"
"orthoMCL1355" "3" "c_3"
"orthoMCL1356" "3" "c_3"
"orthoMCL1357" "3" "c_3"
"orthoMCL1358" "3" "c_3"
"orthoMCL1359" "3" "c_3"
"orthoMCL1360" "3" "c_3"
"orthoMCL1361" "3" "c_3"
"orthoMCL1362" "3" "c_3"
"orthoMCL1363" "3" "c_3"
"orthoMCL1364" "3" "c_3"
"orthoMCL1365" "3" "c_3"
"orthoMCL1366" "3" "c_3"
"orthoMCL1367" "3" "c_3"
"orthoMCL1368" "3" "c_3"
"orthoMCL1369" "3" "c_3"
"orthoMCL1370" "3" "c_3"
"orthoMCL1371" "3" "c_3"
"orthoMCL1372" "3" "c_3"
"orthoMCL1373" "3" "c_3"
"orthoMCL1374" "3" "c_3"
"orthoMCL1375" "3" "c_3"
"orthoMCL1376" "3" "c_3"
"orthoMCL1377" "3" "c_3"
"orthoMCL1378" "3" "c_3"
"orthoMCL1379" "3" "c_3"
"orthoMCL1380" "3" "c_3"
"orthoMCL1381" "3" "c_3"
"orthoMCL1382" "3" "c_3"
"orthoMCL1383" "3" "c_3"
"orthoMCL1384" "3" "c_3"
"orthoMCL1385" "3" "c_3"
"orthoMCL1386" "3" "c_3"
"orthoMCL1387" "3" "c_3"
"orthoMCL1388" "3" "c_3"
"orthoMCL1389" "3" "c_3"
"orthoMCL1390" "3" "c_3"
"orthoMCL1391" "3" "c_3"
"orthoMCL1392" "3" "c_3"
"orthoMCL1393" "3" "c_3"
"orthoMCL1394" "3" "c_3"
"orthoMCL1395" "3" "c_3"
"orthoMCL1396" "3" "c_3"
"orthoMCL1397" "3" "c_3"
"orthoMCL1398" "3" "c_3"
"orthoMCL1399" "3" "c_3"
"orthoMCL1400" "3" "c_3"
"orthoMCL1401" "3" "c_3"
"orthoMCL1402" "3" "c_3"
"orthoMCL1403" "3" "c_3"
"orthoMCL1404" "3" "c_3"
"orthoMCL1405" "3" "c_3"
"orthoMCL1406" "3" "c_3"
"orthoMCL1407" "3" "c_3"
"orthoMCL1408" "3" "c_3"
"orthoMCL1409" "3" "c_3"
"orthoMCL1410" "3" "c_3"
"orthoMCL1411" "3" "c_3"
"orthoMCL1412" "3" "c_3"
"orthoMCL1413" "3" "c_3"
"orthoMCL1414" "3" "c_3"
"orthoMCL1415" "3" "c_3"
"orthoMCL1416" "3" "c_3"
"orthoMCL1417" "3" "c_3"
"orthoMCL1418" "3" "c_3"
"orthoMCL1419" "3" "c_3"
"orthoMCL1420" "3" "c_3"
"orthoMCL1421" "3" "c_3"
"orthoMCL1422" "3" "c_3"
"orthoMCL1423" "3" "c_3"
"orthoMCL1424" "3" "c_3"
"orthoMCL1425" "3" "c_3"
"orthoMCL1426" "3" "c_3"
"orthoMCL1427" "3" "c_3"
"orthoMCL1428" "3" "c_3"
"orthoMCL1429" "3" "c_3"
"orthoMCL1430" "3" "c_3"
"orthoMCL1431" "3" "c_3"
"orthoMCL1432" "3" "c_3"
"orthoMCL1433" "3" "c_3"
"orthoMCL1434" "3" "c_3"
"orthoMCL1435" "3" "c_3"
"orthoMCL1436" "3" "c_3"
"orthoMCL1437" "3" "c_3"
"orthoMCL1438" "3" "c_3"
"orthoMCL1439" "3" "c_3"
"orthoMCL1440" "3" "c_3"
"orthoMCL1441" "3" "c_3"
"orthoMCL1442" "3" "c_3"
"orthoMCL1443" "3" "c_3"
"orthoMCL1444" "3" "c_3"
"orthoMCL1445" "3" "c_3"
"orthoMCL1446" "3" "c_3"
"orthoMCL1447" "3" "c_3"
"orthoMCL1448" "3" "c_3"
"orthoMCL1449" "3" "c_3"
"orthoMCL1450" "3" "c_3"
"orthoMCL1451" "3" "c_3"
"orthoMCL1452" "3" "c_3"
"orthoMCL1453" "3" "c_3"
"orthoMCL1454" "3" "c_3"
"orthoMCL1455" "3" "c_3"
"orthoMCL1456" "3" "c_3"
"orthoMCL1457" "3" "c_3"
"orthoMCL1458" "3" "c_3"
