"V1" "V2"
"orthoMCL0167" "3" "c_3"
"orthoMCL0168" "4" "c_4"
"orthoMCL0169" "2" "c_2"
"orthoMCL0170" "3" "c_3"
"orthoMCL0171" "2" "c_2"
"orthoMCL0172" "3" "c_3"
"orthoMCL0173" "2" "c_2"
"orthoMCL0174" "2" "c_2"
"orthoMCL0175" "4" "c_4"
"orthoMCL0176" "2" "c_2"
"orthoMCL0177" "4" "c_4"
"orthoMCL0178" "4" "c_4"
"orthoMCL0179" "2" "c_2"
"orthoMCL0180" "4" "c_4"
"orthoMCL0181" "4" "c_4"
"orthoMCL0182" "4" "c_4"
"orthoMCL0183" "4" "c_4"
"orthoMCL0184" "4" "c_4"
"orthoMCL0185" "4" "c_4"
"orthoMCL0186" "4" "c_4"
"orthoMCL0187" "4" "c_4"
"orthoMCL0188" "4" "c_4"
"orthoMCL0189" "3" "c_3"
"orthoMCL0190" "4" "c_4"
"orthoMCL0191" "4" "c_4"
"orthoMCL0192" "3" "c_3"
"orthoMCL0193" "4" "c_4"
"orthoMCL0194" "2" "c_2"
"orthoMCL0195" "4" "c_4"
"orthoMCL0196" "4" "c_4"
"orthoMCL0197" "4" "c_4"
"orthoMCL0198" "4" "c_4"
"orthoMCL0199" "4" "c_4"
"orthoMCL0200" "4" "c_4"
"orthoMCL0201" "3" "c_3"
"orthoMCL0202" "2" "c_2"
"orthoMCL0203" "4" "c_4"
"orthoMCL0204" "4" "c_4"
"orthoMCL0205" "2" "c_2"
"orthoMCL0206" "4" "c_4"
"orthoMCL0207" "4" "c_4"
"orthoMCL0208" "4" "c_4"
"orthoMCL0209" "4" "c_4"
"orthoMCL0210" "3" "c_3"
"orthoMCL0211" "2" "c_2"
"orthoMCL0212" "4" "c_4"
"orthoMCL0213" "4" "c_4"
"orthoMCL0214" "3" "c_3"
"orthoMCL0215" "3" "c_3"
"orthoMCL0216" "4" "c_4"
"orthoMCL0217" "3" "c_3"
"orthoMCL0218" "4" "c_4"
"orthoMCL0219" "4" "c_4"
"orthoMCL0220" "4" "c_4"
"orthoMCL0221" "3" "c_3"
"orthoMCL0222" "4" "c_4"
"orthoMCL0223" "4" "c_4"
"orthoMCL0224" "3" "c_3"
"orthoMCL0225" "4" "c_4"
"orthoMCL0226" "3" "c_3"
"orthoMCL0227" "4" "c_4"
"orthoMCL0228" "4" "c_4"
"orthoMCL0229" "4" "c_4"
"orthoMCL0230" "4" "c_4"
"orthoMCL0231" "3" "c_3"
"orthoMCL0232" "3" "c_3"
"orthoMCL0233" "3" "c_3"
"orthoMCL0234" "4" "c_4"
"orthoMCL0235" "4" "c_4"
"orthoMCL0236" "4" "c_4"
"orthoMCL0237" "4" "c_4"
"orthoMCL0238" "4" "c_4"
"orthoMCL0239" "3" "c_3"
"orthoMCL0240" "4" "c_4"
"orthoMCL0241" "3" "c_3"
"orthoMCL0242" "4" "c_4"
"orthoMCL0243" "4" "c_4"
"orthoMCL0244" "4" "c_4"
"orthoMCL0245" "4" "c_4"
"orthoMCL0246" "4" "c_4"
"orthoMCL0247" "4" "c_4"
"orthoMCL0248" "3" "c_3"
"orthoMCL0249" "4" "c_4"
"orthoMCL0250" "4" "c_4"
"orthoMCL0251" "4" "c_4"
"orthoMCL0252" "2" "c_2"
"orthoMCL0253" "4" "c_4"
"orthoMCL0254" "3" "c_3"
"orthoMCL0255" "4" "c_4"
"orthoMCL0256" "4" "c_4"
"orthoMCL0257" "3" "c_3"
"orthoMCL0258" "4" "c_4"
"orthoMCL0259" "3" "c_3"
"orthoMCL0260" "4" "c_4"
"orthoMCL0261" "4" "c_4"
"orthoMCL0262" "4" "c_4"
"orthoMCL0263" "4" "c_4"
"orthoMCL0264" "3" "c_3"
"orthoMCL0265" "4" "c_4"
"orthoMCL0266" "4" "c_4"
"orthoMCL0267" "4" "c_4"
"orthoMCL0268" "4" "c_4"
"orthoMCL0269" "3" "c_3"
"orthoMCL0270" "2" "c_2"
"orthoMCL0271" "4" "c_4"
"orthoMCL0272" "4" "c_4"
"orthoMCL0273" "3" "c_3"
"orthoMCL0274" "4" "c_4"
"orthoMCL0275" "4" "c_4"
"orthoMCL0276" "3" "c_3"
"orthoMCL0277" "4" "c_4"
"orthoMCL0278" "3" "c_3"
"orthoMCL0279" "3" "c_3"
"orthoMCL0280" "3" "c_3"
"orthoMCL0281" "3" "c_3"
"orthoMCL0282" "4" "c_4"
"orthoMCL0283" "3" "c_3"
"orthoMCL0284" "4" "c_4"
"orthoMCL0285" "4" "c_4"
"orthoMCL0286" "4" "c_4"
"orthoMCL0287" "4" "c_4"
"orthoMCL0288" "4" "c_4"
"orthoMCL0289" "4" "c_4"
"orthoMCL0290" "4" "c_4"
"orthoMCL0291" "4" "c_4"
"orthoMCL0292" "4" "c_4"
"orthoMCL0293" "3" "c_3"
"orthoMCL0294" "4" "c_4"
"orthoMCL0295" "4" "c_4"
"orthoMCL0296" "3" "c_3"
"orthoMCL0297" "3" "c_3"
"orthoMCL0298" "4" "c_4"
"orthoMCL0299" "4" "c_4"
"orthoMCL0300" "4" "c_4"
"orthoMCL0301" "3" "c_3"
"orthoMCL0302" "4" "c_4"
"orthoMCL0303" "4" "c_4"
"orthoMCL0304" "3" "c_3"
"orthoMCL0305" "3" "c_3"
"orthoMCL0306" "3" "c_3"
"orthoMCL0307" "3" "c_3"
"orthoMCL0308" "3" "c_3"
"orthoMCL0309" "4" "c_4"
"orthoMCL0310" "3" "c_3"
"orthoMCL0311" "4" "c_4"
"orthoMCL0312" "3" "c_3"
"orthoMCL0313" "4" "c_4"
"orthoMCL0314" "4" "c_4"
"orthoMCL0315" "3" "c_3"
"orthoMCL0316" "4" "c_4"
"orthoMCL0317" "4" "c_4"
"orthoMCL0318" "3" "c_3"
"orthoMCL0319" "3" "c_3"
"orthoMCL0320" "4" "c_4"
"orthoMCL0321" "4" "c_4"
"orthoMCL0322" "3" "c_3"
"orthoMCL0323" "4" "c_4"
"orthoMCL0324" "4" "c_4"
