"dist" "gap" "cnt" "max" "mean"
"orthoMCL0096" 35849.4152819057 8 99 5 1.14414414414414
"orthoMCL0097" 33667.0833146824 5 96 4 1.14414414414414
"orthoMCL0098" 31937.8730568003 6 94 3 1.12612612612613
"orthoMCL0099" 31767.9612157034 4 94 4 1.12612612612613
"orthoMCL0100" 26544.6292944755 8 86 5 1.12612612612613
"orthoMCL0101" 1079.13639568924 5 21 22 1.11711711711712
"orthoMCL0102" 27804.9312552189 9 88 4 1.0990990990991
"orthoMCL0103" 34999.4085983177 3 98 4 1.09009009009009
"orthoMCL0104" 33223.5375298891 5 96 3 1.08108108108108
"orthoMCL0105" 38172.794985015 6 101 3 1.08108108108108
"orthoMCL0106" 33440.3678657114 4 96 2 1.08108108108108
"orthoMCL0107" 19988.1098632877 26 75 5 1.08108108108108
"orthoMCL0108" 10310.9314894788 35 57 7 1.08108108108108
"orthoMCL0109" 17233.5931569745 29 72 8 1.07207207207207
"orthoMCL0110" 26736.9038251902 7 86 4 1.07207207207207
"orthoMCL0111" 0 0 1 119 1.07207207207207
"orthoMCL0112" 1766.48272966938 0 27 10 1.06306306306306
"orthoMCL0113" 375.214079824708 22 13 23 1.06306306306306
"orthoMCL0114" 34184.616562659 4 97 3 1.06306306306306
"orthoMCL0115" 1399.48344659872 47 22 32 1.05405405405405
"orthoMCL0116" 23253.416384822 27 81 4 1.05405405405405
"orthoMCL0117" 25981.4501059895 9 85 4 1.05405405405405
"orthoMCL0118" 32053.5161654078 6 94 3 1.04504504504505
"orthoMCL0119" 28975.2034859972 11 89 4 1.04504504504505
"orthoMCL0120" 34142.5627224671 4 97 3 1.02702702702703
"orthoMCL0121" 31800.4418632249 6 94 4 1.01801801801802
"orthoMCL0122" 131.652751683662 33 8 20 1.01801801801802
"orthoMCL0123" 31751.5913764187 6 94 3 1.00900900900901
"orthoMCL0124" 19893.4265953169 21 77 4 1.00900900900901
"orthoMCL0125" 29079.1000030864 10 90 3 1
"orthoMCL0126" 28517.9591615507 12 89 5 1
"orthoMCL0127" 26538.6415707911 9 86 3 1
"orthoMCL0128" 1638.82324118713 1 26 19 1
"orthoMCL0129" 14.422205101856 24 3 74 1
"orthoMCL0130" 11793.3666859176 7 61 6 0.990990990990991
"orthoMCL0131" 27658.3116599785 14 87 5 0.981981981981982
"orthoMCL0132" 815.667721873426 24 19 17 0.972972972972973
"orthoMCL0133" 12311.4532257926 10 61 9 0.963963963963964
"orthoMCL0134" 16219.056084429 27 70 5 0.963963963963964
"orthoMCL0135" 19299.9856800965 25 76 4 0.963963963963964
"orthoMCL0136" 30206.5952915385 13 91 2 0.954954954954955
"orthoMCL0137" 12662.7705106885 39 61 5 0.954954954954955
"orthoMCL0138" 27257.1153820231 15 86 3 0.954954954954955
"orthoMCL0139" 1902.22106188607 0 28 20 0.945945945945946
"orthoMCL0140" 11501.0403317943 45 56 6 0.936936936936937
"orthoMCL0141" 19639.1399506408 20 76 4 0.936936936936937
"orthoMCL0142" 1258.9942957132 4 23 32 0.927927927927928
"orthoMCL0143" 7509.79353992652 38 48 9 0.927927927927928
"orthoMCL0144" 24429.9328052879 19 82 7 0.927927927927928
"orthoMCL0145" 24937.9420895039 13 83 4 0.918918918918919
"orthoMCL0146" 8417.88564469746 32 52 16 0.900900900900901
"orthoMCL0147" 281.731019140171 15 11 24 0.900900900900901
"orthoMCL0148" 15371.2937602535 3 69 4 0.891891891891892
"orthoMCL0149" 29.856406460551 3 5 82 0.891891891891892
"orthoMCL0150" 3364.03876418863 7 35 18 0.891891891891892
"orthoMCL0151" 966.762272501829 3 20 26 0.882882882882883
"orthoMCL0152" 5.65685424949238 0 3 87 0.855855855855856
"orthoMCL0153" 12950.7661473618 10 63 4 0.846846846846847
"orthoMCL0154" 19611.3117086537 28 73 5 0.837837837837838
"orthoMCL0155" 1691.42176873161 49 23 17 0.828828828828829
"orthoMCL0156" 1504.80773679586 2 25 8 0.81981981981982
"orthoMCL0157" 10306.7123789753 37 57 5 0.81981981981982
"orthoMCL0158" 125.43114699345 3 9 32 0.810810810810811
"orthoMCL0159" 15000.4312769388 31 65 3 0.810810810810811
"orthoMCL0160" 17499.8888869257 30 71 3 0.810810810810811
"orthoMCL0161" 189.149769384773 33 9 18 0.810810810810811
"orthoMCL0162" 12335.2703072154 17 61 6 0.801801801801802
"orthoMCL0163" 20300.3559201337 21 75 4 0.801801801801802
"orthoMCL0164" 7981.60272828124 58 50 4 0.801801801801802
"orthoMCL0165" 1533.23435289599 2 25 12 0.783783783783784
"orthoMCL0166" 13543.8383277131 38 63 3 0.783783783783784
"orthoMCL0167" 568.961968600045 6 16 23 0.783783783783784
"orthoMCL0168" 3358.86817919273 27 33 11 0.774774774774775
"orthoMCL0169" 11985.4317701362 38 57 5 0.774774774774775
"orthoMCL0170" 565.003295315961 26 15 25 0.765765765765766
"orthoMCL0171" 9899.80547688446 14 56 4 0.765765765765766
"orthoMCL0172" 0 0 1 83 0.747747747747748
